"","X1943","X10","X20.4"
"270",1966,4,23.3
"271",1966,5,20.1
"272",1966,6,17.9
"273",1966,7,16.6
"274",1966,8,17.3
"275",1966,9,19.3
"276",1966,10,20.7
"277",1966,11,24.6
"278",1966,12,24.5
"279",1967,1,26.7
"280",1967,2,24.9
"281",1967,3,24
"282",1967,4,23.1
"283",1967,5,20.1
"284",1967,6,17.8
"285",1967,7,17.2
"286",1967,8,17.4
"287",1967,9,19.6
"288",1967,10,21.5
"289",1967,11,24.2
"290",1967,12,24.2
"291",1968,1,25.6
"292",1968,2,26.9
"293",1968,3,26.7
"294",1968,4,25.3
"295",1968,5,19.8
"296",1968,6,16.9
"297",1968,7,16.2
"298",1968,8,18.8
"299",1968,9,20.5
"300",1968,10,24.2
"301",1968,11,26
"302",1968,12,23.7
"303",1969,1,27.4
"304",1969,2,25.5
"305",1969,3,25.3
"306",1969,4,24.4
"307",1969,5,19.7
"308",1969,6,17.4
"309",1969,7,18
"310",1969,8,19.1
"311",1969,9,18.3
"312",1969,10,20.8
"313",1969,11,22.9
"314",1969,12,26.3
"315",1970,1,26.3
"316",1970,2,26.3
"317",1970,3,24.7
"318",1970,4,23.6
"319",1970,5,18.5
"320",1970,6,18.1
"321",1970,7,18.1
"322",1970,8,17.9
"323",1970,9,18.6
"324",1970,10,23.5
"325",1970,11,22.3
"326",1970,12,25.8
"327",1971,1,25.2
"328",1971,2,26.4
"329",1971,3,25.2
"330",1971,4,23.4
"331",1971,5,20.1
"332",1971,6,17.1
"333",1971,7,15.9
"334",1971,8,18.3
"335",1971,9,20.5
"336",1971,10,24.2
"337",1971,11,22.2
"338",1971,12,24.4
"339",1972,1,24.5
"340",1972,2,25.7
"341",1972,3,24.1
"342",1972,4,22.5
"343",1972,5,19.1
"344",1972,6,17.6
"345",1972,7,17.5
"346",1972,8,18.8
"347",1972,9,21.5
"348",1972,10,20.9
"349",1972,11,23
"350",1972,12,27.2
"351",1973,1,26.7
"352",1973,2,26.3
"353",1973,3,25.3
"354",1973,4,24.3
"355",1973,5,21.6
"356",1973,6,17.3
"357",1973,7,18
"358",1973,8,18.1
"359",1973,9,21.6
"360",1973,10,22.5
"361",1973,11,24.5
"362",1973,12,25.9
"363",1974,1,25.5
"364",1974,2,25.6
"365",1974,3,25.2
"366",1974,4,23.4
"367",1974,5,20.2
"368",1974,6,17.4
"369",1974,7,17.5
"370",1974,8,17.6
"371",1974,9,19.4
"372",1974,10,20.9
"373",1974,11,22.1
"374",1974,12,25.3
"375",1975,1,26.2
"376",1975,2,25.9
"377",1975,3,25.5
"378",1975,4,22.1
"379",1975,5,21
"380",1975,6,17.7
"381",1975,7,19
"382",1975,8,18.2
"383",1975,9,20.7
"384",1975,10,22
"385",1975,11,25
"386",1975,12,26.2
"387",1976,1,25
"388",1976,2,26
"389",1976,3,25.2
"390",1976,4,23.2
"391",1976,5,21.3
"392",1976,6,18.4
"393",1976,7,17.4
"394",1976,8,18.3
"395",1976,9,19
"396",1976,10,20.7
"397",1976,11,23.3
"398",1976,12,27.7
"399",1977,1,27.2
"400",1977,2,26.2
"401",1977,3,26.2
"402",1977,4,24.2
"403",1977,5,20.2
"404",1977,6,17.1
"405",1977,7,16.9
"406",1977,8,19.6
"407",1977,9,18.8
"408",1977,10,24.2
"409",1977,11,24.4
"410",1977,12,27.1
"411",1978,1,26.2
"412",1978,2,28.4
"413",1978,3,25.7
"414",1978,4,22.9
"415",1978,5,20.7
"416",1978,6,16.7
"417",1978,7,16.6
"418",1978,8,17.1
"419",1978,9,18.9
"420",1978,10,21.5
"421",1978,11,22.8
"422",1978,12,23.9
"423",1979,1,26.9
"424",1979,2,27.2
"425",1979,3,24.9
"426",1979,4,22.9
"427",1979,5,18.9
"428",1979,6,18.4
"429",1979,7,17.5
"430",1979,8,18
"431",1979,9,19.9
"432",1979,10,22
"433",1979,11,24.1
"434",1979,12,27.9
"435",1980,1,26.9
"436",1980,2,26.9
"437",1980,3,26.3
"438",1980,4,23.8
"439",1980,5,20.7
"440",1980,6,17.9
"441",1980,7,16.7
"442",1980,8,20.2
"443",1980,9,23.3
"444",1980,10,22.4
"445",1980,11,25.1
"446",1980,12,26.3
"447",1981,1,26.3
"448",1981,2,26
"449",1981,3,25.3
"450",1981,4,24
"451",1981,5,20.1
"452",1981,6,17.2
"453",1981,7,17
"454",1981,8,17.6
"455",1981,9,22.1
"456",1981,10,22.6
"457",1981,11,22.1
"458",1981,12,25.4
"459",1982,1,26.4
"460",1982,2,26.7
"461",1982,3,24.7
"462",1982,4,23.2
"463",1982,5,21.5
"464",1982,6,16.7
"465",1982,7,15.8
"466",1982,8,20
"467",1982,9,20
"468",1982,10,21.3
"469",1982,11,24.8
"470",1982,12,25.2
"471",1983,1,26.6
"472",1983,2,27.7
"473",1983,3,26.6
"474",1983,4,21.1
"475",1983,5,20.5
"476",1983,6,16.9
"477",1983,7,16.7
"478",1983,8,18.1
"479",1983,9,21.8
"480",1983,10,21.3
"481",1983,11,23.7
"482",1983,12,25
"483",1984,1,25.6
"484",1984,2,26.8
"485",1984,3,24
"486",1984,4,22.8
"487",1984,5,19.9
"488",1984,6,18.3
"489",1984,7,16.1
"490",1984,8,18.9
"491",1984,9,19.7
"492",1984,10,22
"493",1984,11,24.6
"494",1984,12,25.3
"495",1985,1,26.8
"496",1985,2,24.4
"497",1985,3,25.6
"498",1985,4,22.5
"499",1985,5,19.9
"500",1985,6,17.7
"501",1985,7,17
"502",1985,8,17.7
"503",1985,9,19.7
"504",1985,10,21.6
"505",1985,11,23.5
"506",1985,12,27.4
"507",1986,1,25.9
"508",1986,2,26.2
"509",1986,3,25.5
"510",1986,4,24.8
"511",1986,5,20.8
"512",1986,6,18
"513",1986,7,17.3
"514",1986,8,17.9
"515",1986,9,20.9
"516",1986,10,22.4
"517",1986,11,21.8
"518",1986,12,24.7
"519",1987,1,27
"520",1987,2,26.9
"521",1987,3,24.2
"522",1987,4,22.9
"523",1987,5,20.5
"524",1987,6,18.2
"525",1987,7,16.9
"526",1987,8,18.7
"527",1987,9,21.4
"528",1987,10,21.4
"529",1987,11,24.6
"530",1987,12,24.3
"531",1988,1,26.8
"532",1988,2,25.7
"533",1988,3,25
"534",1988,4,22.5
"535",1988,5,20.9
"536",1988,6,18.5
"537",1988,7,18.7
"538",1988,8,19.3
"539",1988,9,21.8
"540",1988,10,26.2
"541",1988,11,23.4
"542",1988,12,25.4
"543",1989,1,25.4
"544",1989,2,26.3
"545",1989,3,25.2
"546",1989,4,23.1
"547",1989,5,20.5
"548",1989,6,16.7
"549",1989,7,16.3
"550",1989,8,17.3
"551",1989,9,20.9
"552",1989,10,24.2
"553",1989,11,23.6
"554",1989,12,25.3
"555",1990,1,25.5
"556",1990,2,25.4
"557",1990,3,25.3
"558",1990,4,23.1
"559",1990,5,21.3
"560",1990,6,17.4
"561",1990,7,17.3
"562",1990,8,17.5
"563",1990,9,19.4
"564",1990,10,21.9
"565",1990,11,24.5
"566",1990,12,28.6
"567",1991,1,29.1
"568",1991,2,28.2
"569",1991,3,25.6
"570",1991,4,23.1
"571",1991,5,20
"572",1991,6,19.5
"573",1991,7,17
"574",1991,8,18.8
"575",1991,9,21.5
"576",1991,10,23.7
"577",1991,11,23.4
"578",1991,12,24.2
"579",1992,1,25.3
"580",1992,2,25
"581",1992,3,25.4
