"","x"
"1",44.1041515607
"2",35.8500994907
"3",35.4649103941
"4",33.8691269939
"5",31.92942475745
"6",23.8817239892
"7",22.38223786315
"8",16.16418530375
"9",19.41077911795
"10",32.91991100585
"11",32.6585326903
"12",31.5579924143
"13",28.98547951915
"14",18.25521182815
"15",18.22769832125
"16",18.09013078675
"17",20.5250761474
"18",30.60877642625
"19",29.6595604382
"20",25.7251289515
"21",26.0552910343
"22",27.4034528724
"23",28.2288580794
"24",31.68180319535
"25",30.8701547418
"26",27.5410204069
"27",28.338912107
"28",31.6680464419
"29",33.3738838697
"30",40.59617943095
"31",43.4163138882
"32",54.9444732793
"33",56.30639187085
"34",61.94666078535
"35",62.1530120871
"36",63.005930801
"37",57.13179707785
"38",33.1262623076
"39",34.9146402561
"40",42.38455737945
"41",42.27450335185
"42",41.83428724145
"43",43.62266518995
"44",51.02379854605
"45",49.9370150235
"46",45.38352963155
"47",45.71369171435
"48",47.08936705935
"49",46.3877726334
"50",43.48509765545
"51",43.40255713475
"52",43.0311247916
"53",42.370800626
"54",39.57817967565
"55",38.794044729
"56",35.58872117515
"57",35.91888325795
"58",37.2808018495
"59",36.44163988905
"60",32.9061542524
"61",33.16753256795
"62",34.1992890767
"63",37.968639522
"64",53.30741961875
"65",52.3857171376
"66",48.5338261716
"67",50.074582558
"68",56.3476621312
"69",55.39844614315
"70",51.49152816335
"71",49.78569073555
"72",42.68720595535
"73",41.1051793086
"74",34.65326194055
"75",35.6299914355
"76",39.5919364291
"77",36.5379371632
"78",24.06056178405
"79",24.3219400996
"80",25.3949668687
"81",26.3579396102
"82",30.3198846038
"83",30.80137097455
"84",32.80985697825
"85",32.0257220316
"86",28.76537146395
"87",29.8246414796
"88",34.21304583015
"89",35.5474509148
"90",41.2427468431
"91",42.4258276398
"92",47.4607994025
"93",47.8184749922
"94",49.3317178717
"95",48.5338261716
"96",45.05336754875
"97",44.06288130035
"98",39.7570174705
"99",40.56866592405
"100",43.98034077965
"101",43.9115570124
"102",43.59515168305
"103",42.921070764
"104",40.07342279985
"105",39.68823370325
"106",38.0786935496
"107",39.2617743463
"108",44.2692326021
"109",45.0671243022
"110",48.5063126647
"111",46.59412393515
"112",38.4913961531
"113",40.43109838955
"114",48.74017747335
"115",51.5878254375
"116",63.6112279528
"117",64.1890115977
"118",66.67898397215
"119",64.64298446155
"120",56.03125680185
"121",56.0175000484
"122",55.94871628115
"123",56.47147291225
"124",58.7138237246
"125",58.45244540905
"126",57.3381483796
"127",55.78363523975
"128",49.1941503372
"129",49.70315021485
"130",51.82169024615
"131",51.5878254375
"132",50.58358243565
"133",47.0205832921
"134",31.90191125055
"135",33.1812893214
"136",38.6014501807
"137",37.6109639323
"138",33.3738838697
"139",35.56120766825
"140",44.6269081918
"141",43.8840435055
"142",40.73374696545
"143",42.27450335185
"144",48.8089612406
"145",48.2036640888
"146",45.6173944402
"147",44.571881178
"148",40.169720074
"149",42.05439529665
"150",50.03331229765
"151",48.2036640888
"152",40.62369293785
"153",40.3898281292
"154",39.3993418808
"155",40.95385502065
"156",47.5158264163
"157",47.66715070425
"158",48.27244785605
"159",47.17190758005
"160",42.4808546536
"161",42.3432871191
"162",41.77926022765
"163",41.09142255515
"164",38.20250433065
"165",38.4913961531
"166",39.7019904567
"167",40.0046390326
"168",41.3252873638
"169",41.20147658275
"170",40.6649631982
"171",40.8575577465
"172",41.7379899673
"173",42.43958439325
"174",45.43855664535
"175",47.44704264905
"176",55.8249055001
"177",54.9444732793
"178",51.1476093271
"179",52.37196038415
"180",57.62704020205
"181",57.13179707785
"182",55.04077055345
"183",51.8354469996
"184",38.47763939965
"185",38.1062070565
"186",36.52418040975
"187",37.29455860295
"188",40.59617943095
"189",40.4998821568
"190",40.12844981365
"191",40.6374496913
"192",42.7559897226
"193",43.8015029848
"194",48.3137181164
"195",48.5888531854
"196",49.7444204752
"197",50.2121500925
"198",52.20687934275
"199",50.11585281835
"200",41.2427468431
"201",42.30201685875
"202",46.6904212093
"203",45.46607015225
"204",40.26601734815
"205",39.33055811355
"206",35.2723158458
"207",34.43315388535
"208",30.8426412349
"209",29.7696144658
"210",25.18861556695
"211",26.42672337745
"212",31.6955599488
"213",31.98445177125
"214",33.2363163352
"215",36.22153183385
"216",48.57509643195
"217",49.1391233234
"218",51.5327984237
"219",50.2946906132
"220",45.122151316
"221",44.47558390385
"222",41.80677373455
"223",44.25547584865
"224",54.43547340165
"225",53.3486898791
"226",48.85023150095
"227",50.4322581477
"228",57.04925655715
"229",56.2651216105
"230",52.86720350835
"231",52.31693337035
"232",49.9920420373
"233",49.23542059755
"234",46.09888081095
"235",47.1031238128
"236",51.24390660125
"237",49.29044761135
"238",41.1602063224
"239",39.68823370325
"240",33.58023517145
"241",34.3093431043
"242",37.5284234116
"243",38.1887475772
"244",40.9400982672
"245",41.09142255515
"246",41.69671970695
"247",42.5083681605
"248",45.87877275575
"249",44.7369622194
"250",39.93585526535
"251",41.03639554135
"252",45.68617820745
