"","x"
"1",-0.00738555794338813
"2",-0.0171966854619479
"3",-0.0298529631496813
"4",0.00619676653751178
"5",0.0326652665545355
"6",0.0104090159147359
"7",0.00221647671089142
"8",0.00441826933766487
"9",0.0189234176633657
"10",0.0206928539388334
"11",-0.00353732240085103
"12",-0.0128389780730083
"13",-0.0159192942174915
"14",0.000729128723516492
"15",-0.00511510066677046
"16",0.00146412910488936
"17",0.0188411370558561
"18",-0.00720464211504757
"19",-0.00362188009115405
"20",-0.000725952844949251
"21",0.00217627942259568
"22",-0.0109290705321903
"23",0.00584369814891073
"24",0.0115859369863727
"25",0.0234802676088428
"26",-0.0213227694688216
"27",-0.0093829631010629
"28",-0.0014513790646471
"29",0.00290065468063716
"30",0.00721503851415095
"31",-0.0115691818227712
"32",-0.0131773502658028
"33",-0.0170944333592997
"34",0
"35",0.00672397004766845
"36",0.0293491351415205
"37",0.0228744784125796
"38",-0.0470249386448627
"39",-0.0446874805858326
"40",-0.0362815819478346
"41",0.0167267938053137
"42",-0.00158102799731896
"43",0.0303880024180425
"44",0.0137197273974801
"45",0.011291049574266
"46",-0.00374953570147962
"47",0.0281500068933376
"48",0.0512567707110727
"49",0.032767436684487
"50",0.00935835706896571
"51",-0.0127219660256488
"52",-0.0054054185669079
"53",0.0207851934660774
"54",0.0274886417903732
"55",-0.0354833545920816
"56",-0.00873367996875452
"57",-0.00337952332465274
"58",0.0174501072215949
"59",0.00795232819049518
"60",-0.00595830958363086
"61",-0.00465891025724119
"62",-0.0297923184970048
"63",-0.0180310016757255
"64",0.0166554856404155
"65",-0.00206682815566284
"66",0.0285539453490862
"67",-0.0313163780449961
"68",0.0137364797278865
"69",0.00340483815484083
"70",-0.0192181618275669
"71",-0.0111499412970342
"72",-0.00491746688153016
"73",-0.0300236990217022
"74",-0.0220111601013517
"75",-0.0164551207264445
"76",0.00676440008854184
"77",-0.00149925065564105
"78",-0.00601958175838613
"79",0.0120031448613562
"80",-0.00898882456843353
"81",-0.0121121844104493
"82",-0.0107198576321963
"83",0.0122419279412651
"84",-0.0160984695510189
"85",-0.00620157026328139
"86",-0.0101603062401581
"87",0.0124904043817811
"88",-0.0172148226180484
"89",-0.020734395116532
"90",0.0159875507603124
"91",-0.0143772444542085
"92",0.0238485070466954
"93",0.00470220302143609
"94",0.025474167925192
"95",0.0425278557844146
"96",-0.0132354873282501
"97",0.00884309373633352
"98",-0.024509210480733
"99",0.0230407814356663
"100",-0.0343830580396012
"101",-0.00152207030906881
"102",-0.0278010182702566
"103",-0.00235201990043077
"104",-0.108505172337298
"105",0.0511620521798681
"106",-0.021000351763147
"107",0.011814483413763
"108",-0.0177744840275778
"109",-0.0285857489114409
"110",-0.0186258156170758
"111",0.00178890924272457
"112",-0.00178890924272457
"113",0.0377734850312099
"114",-0.0138891121606672
"115",-0.014971657899967
"116",-0.0107048301455568
"117",-0.0291194368932288
"118",-0.00555556984460193
"119",-0.00558660670863986
"120",0.00744189481038582
"121",-0.0348927429448223
"122",-0.00288323121408496
"123",0.00671465352564082
"124",-0.0379977519063059
"125",-0.0129936860619884
"126",0.00301356330526437
"127",0.0188778581765892
"128",-0.013875346493617
"129",-0.0110387473148226
"130",0.0229436498211406
"131",-0.0039525743158233
"132",-0.0507723253734231
"133",0.021639175103481
"134",0.0291331502699421
"135",0.000989609185165996
"136",0.0166752269946393
"137",-0.0467979864497474
"138",0.0564786041604708
"139",0.0561945583436421
"140",-0.0137553750684853
"141",0.0192049798360503
"142",0.0188430878014798
"143",0.00354924951114155
"144",-0.000886132091657998
"145",-0.00801072374607914
"146",-0.0089767209615581
"147",0.0143243272881537
"148",0.0451857926217563
"149",0.021849608714402
"150",0.00331950512285273
