"","x"
"1",0.0146558558785328
"2",-0.0267585451386299
"3",-0.00911826622278822
"4",-0.00548867241808981
"5",0.00033690830797628
"6",-0.00427591514544545
"7",0.0203154659577698
"8",-0.00232313838649256
"9",0.0186531631696778
"10",-0.0013053412056907
"11",0.0096409781039557
"12",-0.00800956766000827
"13",-0.00654167182372412
"14",-0.00636455566624061
"15",-0.00563008607560578
"16",-0.00644160379336389
"17",0.0277994059371647
"18",-0.0111148578062963
"19",-0.0100215584610193
"20",-0.0067744164904
"21",0.0177816822761785
"22",-0.0131124130924949
"23",0.0063021934500167
"24",-0.00619128566972238
"25",0.0302573461450169
"26",0.00654192906326667
"27",-0.0186659138990231
"28",-0.001198714250223
"29",-0.00305777239451732
"30",-0.0154307040559498
"31",-0.0115065783882455
"32",-0.0098233726205712
"33",0.0013606987018373
"34",0.00677585878725395
"35",-0.00643597321212441
"36",0
"37",-0.0152953558278894
"38",0.000230017252307757
"39",0.00904361953302146
"40",0.021978906718775
"41",-0.00335008688528182
"42",0.00446429312868535
"43",-0.0115362202279261
"44",-0.00848469369728244
"45",0.0114093302026346
"46",0.0160449124520703
"47",0.0113206682438256
"48",-0.000109295590032144
"49",-0.0158646050694786
"50",0.0138952390062834
"51",-0.0124526376353105
"52",-0.0103662523331898
"53",-0.000896760512960171
"54",-0.0154831595057172
"55",-0.0247922758709418
"56",-0.0285412232446953
"57",-0.0126943613650252
"58",-0.0135973185766094
"59",-0.0320829521755388
"60",0.0306018361308951
"61",-0.00731423331452818
"62",0.00446928118229684
"63",-0.00820900132238167
"64",-0.00149981280457911
"65",-0.0110679031971275
"66",0.0123179033598877
"67",-0.0278675411627165
"68",0.0197144699730831
"69",0.006027140294524
"70",0.019709345774936
"71",0.0081902542058625
"72",-0.0111404714655499
"73",-0.0122624934091826
"74",0.0122624934091826
"75",-0.0193915336705883
"76",0.0138363067429923
"77",-0.0179869950490827
"78",0.0137691498182675
"79",-0.00186648470785888
"80",-0.0226738520578702
"81",-0.0213760392591786
"82",-0.0233073951726692
"83",0.00186343724891946
"84",0.0031864073694079
"85",-0.0161692571957461
"86",0.0156388938844545
"87",0.00963513030421081
"88",0.0351049080909265
"89",0.0102202643444507
"90",0.0279755835376996
"91",-0.00207735151383481
"92",0.0229756176554701
"93",-0.00695780158185322
"94",0.0177777157110022
"95",-0.0328174170226916
"96",0.00183139053690118
"97",-0.00476860963548287
"98",0.000735113975765422
"99",-0.00380391893739551
"100",-0.00591863626645406
"101",-0.00111365475841962
"102",0.0247016716965094
"103",-0.00447915524004294
"104",0.0156497716671273
"105",-0.00299061171515325
"106",0.00334888484253026
"107",-0.00454763828265392
"108",-0.00625678854995027
"109",0.0015678710321505
"110",0.0218138454688868
"111",0.00294342945187864
"112",-0.0649618413856556
"113",0.0163009893347126
"114",-0.0104219305601836
"115",0.00795035243596676
"116",-0.0109481063671502
"117",-0.00275585793858335
"118",-0.0121152415736692
"119",0.0228452259922762
"120",0.0136811155905767
"121",-0.0141776399304696
"122",0.00334676482204799
"123",0.0152280972907435
"124",-0.0125093610634659
"125",0.0120217345756859
"126",0.0541121441793626
"127",-0.0106841104575532
"128",0.0268402911504446
"129",0.00803762746778736
"130",-0.00259667094818061
"131",-0.000113051834386368
"132",0.00922806458547676
"133",-0.00945420660362695
"134",-0.00192427474624246
"135",0.00936009089115108
"136",-0.00924679570041098
"137",0.0100322094855265
"138",-0.00946592598888296
"139",0.0127132274259432
"140",-0.0119209688818716
"141",0.00957052849147511
"142",0.0221640278518556
"143",0.00371950981276203
"144",0.00631328971863176
"145",0.00971824946892141
"146",0.00589276896715063
"147",0.00192102513719394
"148",-0.00288292335703444
"149",-0.00364221077516191
"150",0.00300043088362933
