"","x"
"1",0.0320027310861732
"2",0.0461620417631625
"3",0.010683862308313
"4",-0.00639661029669281
"5",0.0190683743655153
"6",-0.0126717640688225
"7",0.0487395581624881
"8",-0.0287494132859862
"9",-0.00104220957844348
"10",-0.0147061473896954
"11",0.0333017245490401
"12",0.0242681272724381
"13",0.0158576167333386
"14",-0.0198616260867217
"15",0.0296464399667205
"16",0.0268988359816085
"17",0.00849462399142276
"18",-0.0180185055026785
"19",-0.00768495616938392
"20",0.0086414363953411
"21",0.0198776066768849
"22",-0.00187617315822752
"23",0.0046838493124266
"24",0.0157629596652571
"25",-0.01482881667346
"26",0.0166670524852108
"27",0.005494519317641
"28",-0.0137933221323356
"29",-0.0139862419747399
"30",0.0232028970796634
"31",0.00457666702741211
"32",-0.0175039015288716
"33",0.000928936434658745
"34",0.0165749650942129
"35",-0.0119431828441741
"36",0.00276880656813283
"37",-0.0157922464544198
"38",-0.00657588090615668
"39",0.0195993207924436
"40",0.0110295235754991
"41",0.000913659268674927
"42",0
"43",0.0216810660613245
"44",0.029064132943911
"45",-0.00260756340708124
"46",-0.0017421607193846
"47",-0.00524476726729528
"48",0.00349956612626467
"49",-0.00437637459979889
"50",-0.0221738574943222
"51",0.0107048301455572
"52",-0.0107048301455572
"53",0.00335722815288264
"54",0.0157417312454964
"55",-0.0177545720123859
"56",-0.0167084492107357
"57",0.0247370382773102
"58",0.00531680472680574
"59",-0.0142414512010047
"60",0.0102565001671886
"61",-0.0147488707052945
"62",0.00449237053810592
"63",0.00089605740762444
"64",-0.00134438738599307
"65",0.00581267006604413
"66",0.0128462453208336
"67",-0.0186589153868777
"68",-0.00765252440311492
"69",-0.010447517240503
"70",0.023912711709662
"71",-0.0143693536627625
"72",0.0170407711018701
"73",-0.00222568531672884
"74",-0.00581007221005425
"75",-0.00134559338535833
"76",0.00447828782469628
"77",-0.0103302063926352
"78",-0.00861487984981402
"79",0.00363636764338349
"80",-0.0118668667798998
"81",0.00275103337189009
"82",-0.0236286183934453
"83",-0.0603902376597301
"84",-0.0206296624225608
"85",-0.0097063341865784
"86",-0.00669587873859889
"87",-0.00986764693307585
"88",-0.0184361292297757
"89",0.0231224174208542
"90",0.0108500160240661
"91",0.0112418148662483
"92",-0.0158774142052032
"93",0.00103199183565561
"94",-0.0166410496422325
"95",-0.00948373809890946
"96",-0.00637283091500063
"97",-0.00427122913094635
"98",-0.0189041546391522
"99",0.0442620902292337
"100",-0.013655674387187
"101",0.00999745238221816
"102",0.00261438057407126
"103",-0.00733755912631739
"104",-0.0100450223431041
"105",-0.0209403624755016
"106",-0.0258327088076786
"107",0.0154699217721319
"108",0.00982004618097498
"109",0.0325796504808977
"110",-0.00738399979463988
"111",-0.00318133884435756
"112",0.00371057939653596
"113",0.0131407935610586
"114",0
"115",0.0129703504426271
"116",0.0122952368570379
"117",0.00861855778413911
"118",0.0100452878851831
"119",-0.0258176830259416
"120",0.0157723951407585
"121",0.0120422930421187
"122",-0.00249688019858674
"123",0.00747201483870086
"124",0.0138001204368381
"125",-0.0187752550769522
"126",-0.0135578275580119
"127",-0.00303797702007724
"128",-0.00304723445546795
"129",-0.00765896008400091
"130",-0.019146768610212
"131",-0.0142070266443488
"132",-0.00851521909446085
"133",0.00586199387123543
"134",0.0194691758623744
"135",-0.0131132222616763
"136",-0.0283820925129454
"137",-0.0376358751588697
"138",-0.034426807750088
"139",0.0753164818751202
"140",-0.0103402281851448
"141",-0.0176605031519506
"142",0.00886923774077975
"143",0.0277568839986637
"144",-0.00214938288014466
"145",-0.00323276143608364
"146",0.00377054042188707
"147",-0.0189965006906556
"148",-0.0232826481534509
"149",0.0166855928917107
"150",-0.00331492016262303
